OCUPAÇÃO,REF-ALT,CNAE,DESCRIÇÃO SUBCLASSE CNAE,ISS,ICMS
CRIADOR(A) DE ANIMAIS DOMÉSTICOS,,02/08/0159,CRIAÇÃO DE ANIMAIS DE ESTIMAÇÃO,N,S
CRIADOR(A) DE PEIXES ORNAMENTAIS EM ÁGUA DOCE,,04/01/0322,CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA DOCE,N,S
CRIADOR(A) DE PEIXES ORNAMENTAIS EM ÁGUA SALGADA,,04/03/0321,CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA SALGADA E SALOBRA,N,S
CROCHETEIRO(A),,1422-3/00,"FABRICAÇÃO DE ARTIGOS DO VESTUÁRIO, PRODUZIDOS EM MALHARIAS E TRICOTAGENS, EXCETO MEIAS",N,S
CUIDADOR(A) DE ANIMAIS (PET SITTER) ,(Incluído pela Resolução CGSN nº 117/2014),08/02/9609,HIGIENE E EMBELEZAMENTO DE ANIMAIS,S,N
CUIDADOR(A) DE IDOSOS E ENFERMOS,,8712-3/00,ATIVIDADES DE FORNECIMENTO DE INFRA-ESTRUTURA DE APOIO E ASSISTÊNCIA A PACIENTE NO DOMICÍLIO,S,N
CUNHADOR(A) DE MOEDAS E MEDALHAS,,03/06/3211,CUNHAGEM DE MOEDAS E MEDALHAS,N,S
CURTIDOR DE COURO,,1510-6/00,CURTIMENTO E OUTRAS PREPARAÇÕES DE COURO,N,S
CUSTOMIZADOR(A) DE ROUPAS,,1340-5/99,"OUTROS SERVIÇOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO",S,N
DEDETIZADOR(A),,8122-2/00,IMUNIZAÇÃO E CONTROLE DE PRAGAS URBANAS,S,N
DEPILADOR(A),,02/05/9602,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,S,N
DIARISTA ,(Incluído pela Resolução CGSN nº 117/2014),9700-5/00,SERVIÇOS DOMÉSTICOS,S,N
DIGITADOR(A),,8219-9/99,PREPARAÇÃO DE DOCUMENTOS E SERVIÇOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NÃO ESPECIFICADOS ANTERIORMENTE,S,N
DISC JOCKEY (DJ) OU VIDEO JOCKEY (VJ),,06/09/9001,ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃO,S,N
DISTRIBUIDOR(A) DE ÁGUA POTÁVEL EM CAMINHÃO PIPA,,02/06/3600,DISTRIBUIÇÃO DE ÁGUA POR CAMINHÕES,S,S
DOCEIRO(A),,04/01/5620,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,N,S
DUBLADOR(A),,5912-0/01,SERVIÇOS DE DUBLAGEM,S,N
EDITOR(A) DE JORNAIS DIÁRIOS ,(Incluído pela Resolução CGSN nº 117/2014),01/03/5812,EDITOR DE JORNAIS DIÁRIOS,S,N
EDITOR(A) DE JORNAIS NÃO DIÁRIOS ,(Incluído pela Resolução CGSN nº 117/2014),02/03/5812,EDITOR DE JORNAIS NÃO DIÁRIOS,S,N
EDITOR(A) DE LISTA DE DADOS E DE OUTRAS INFORMAÇÕES,,5819-1/00,"EDIÇÃO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRÁFICOS",S,N
EDITOR(A) DE LIVROS,,5811-5/00,EDIÇÃO DE LIVROS,S,N
EDITOR(A) DE REVISTAS,,5813-1/00,EDIÇÃO DE REVISTAS,S,N
EDITOR(A) DE VÍDEO,,5912-0/99,"ATIVIDADES DE PÓS-PRODUÇÃO CINEMATOGRÁFICA, DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO NÃO ESPECIFICADAS ANTERIORMENTE",S,N
ELETRICISTA DE AUTOMÓVEIS,,4520-0/03,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO ELÉTRICA DE VEÍCULOS AUTOMOTORES,S,N
ELETRICISTA EM RESIDÊNCIAS E ESTABELECIMENTOS COMERCIAIS,,4321-5/00,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,S,N
ENCADERNADOR(A)/PLASTIFICADOR(A),,01/09/1822,SERVIÇOS DE ENCADERNAÇÃO E PLASTIFICAÇÃO,S,N
ENCANADOR,,01/03/4322,"INSTALAÇÕES HIDRÁULICAS, SANITÁRIAS E DE GÁS",S,N
ENGRAXATE,,9609-2/99,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE,S,N
ENTREGADOR DE MALOTES,,01/02/5320,SERVIÇOS DE MALOTE NÃO REALIZADOS PELO CORREIO NACIONAL,S,S
ENVASADOR(A) E EMPACOTADOR(A),,8292-0/00,ENVASAMENTO E EMPACOTAMENTO SOB CONTRATO,S,N
ESTAMPADOR(A) DE PEÇAS DO VESTUÁRIO,,01/05/1340,"ESTAMPARIA E TEXTURIZAÇÃO EM FIOS, TECIDOS, ARTEFATOS TÊXTEIS E PEÇAS DO VESTUÁRIO",S,N
ESTETICISTA,,02/05/9602,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,S,N
ESTETICISTA DE ANIMAIS DOMÉSTICOS,(Redação dada pela Resolução CGSN nº 117/2014),07/02/9609,HIGIENE E EMBELEZAMENTO DE ANIMAIS DOMÉSTICOS,S,N
ESTOFADOR(A),,05/01/9529,REPARAÇÃO DE ARTIGOS DO MOBILIÁRIO,S,N
FABRICANTE DE ABSORVENTES HIGIÊNICOS,,02/07/1742,FABRICAÇÃO DE ABSORVENTES HIGIÊNICOS,N,S
FABRICANTE DE AÇÚCAR MASCAVO,,1071-6/00,FABRICAÇÃO DE AÇÚCAR EM BRUTO,N,S
FABRICANTE DE ÁGUAS NATURAIS,,1122-4/99,FABRICAÇÃO DE OUTRAS BEBIDAS NÃO-ALCOÓLICAS NÃO ESPECIFICADAS ANTERIORMENTE,N,S
FABRICANTE DE ALIMENTOS PRONTOS CONGELADOS,,1096-1/00,FABRICAÇÃO DE ALIMENTOS E PRATOS PRONTOS,N,S
FABRICANTE DE AMENDOIM E CASTANHA DE CAJU TORRADOS E SALGADOS,,1031-7/00,FABRICANTE DE CONSERVAS DE FRUTAS,N,S
FABRICANTE DE AMIDO E FÉCULAS DE VEGETAIS,,01/01/1065,FABRICAÇÃO DE AMIDOS E FÉCULAS DE VEGETAIS,N,S
FABRICANTE DE ARTEFATOS DE FUNILARIA,,01/02/2532,PRODUÇÃO DE ARTEFATOS ESTAMPADOS DE METAL,N,S
FABRICANTE DE ARTEFATOS PARA PESCA E ESPORTE,,3230-2/00,FABRICAÇÃO DE ARTEFATOS PARA PESCA E ESPORTE,N,S
FABRICANTE DE ARTEFATOS TÊXTEIS PARA USO DOMÉSTICO,,1351-1/00,FABRICAÇÃO DE ARTEFATOS TÊXTEIS PARA USO DOMÉSTICO,N,S
FABRICANTE DE ARTIGOS DE CUTELARIA,,2541-1/00,FABRICAÇÃO DE ARTIGOS DE CUTELARIA,N,S
FABRICANTE DE AVIAMENTOS PARA COSTURA,,3299-0/05,FABRICAÇÃO DE AVIAMENTOS PARA COSTURA,N,S
"FABRICANTE DE BALAS, CONFEITOS E FRUTAS CRISTALIZADAS",,02/07/1093,"FABRICAÇÃO DE FRUTAS CRISTALIZADAS, BALAS E SEMELHANTES",N,S
FABRICANTE DE BOLSAS/BOLSEIRO,,1521-1/00,"FABRICAÇÃO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL",N,S
FABRICANTE DE BRINQUEDOS NÃO ELETRÔNICOS,,3240-0/99,FABRICAÇÃO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
"FABRICANTE DE CALÇADOS DE BORRACHA, MADEIRA E TECIDOS E FIBRAS",,1539-4/00,FABRICAÇÃO DE CALÇADOS DE MATERIAIS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
FABRICANTE DE CALÇADOS DE COURO,,01/09/1531,FABRICAÇÃO DE CALÇADOS DE COURO,N,S
FABRICANTE DE CHÁ,,05/06/1099,"FABRICAÇÃO DE PRODUTOS PARA INFUSÃO (CHÁ, MATE, ETC.)",N,S
FABRICANTE DE CINTOS/CINTEIRO,,1414-2/00,"FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO, EXCETO PARA SEGURANÇA E PROTEÇÃO",N,S
FABRICANTE DE CONSERVAS DE FRUTAS,,1031-7/00,FABRICAÇÃO DE CONSERVAS DE FRUTAS,N,S
FABRICANTE DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS,,1032-5/99,"FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO",N,S
FABRICANTE DE DESINFESTANTES,,2052-5/00,FABRICAÇÃO DE DESINFESTANTES DOMISSANITÁRIOS,N,S
FABRICANTE DE EMBALAGENS DE CARTOLINA E PAPEL-CARTÃO,,1732-0/00,FABRICAÇÃO DE EMBALAGENS DE CARTOLINA E PAPEL-CARTÃO,N,S
FABRICANTE DE EMBALAGENS DE MADEIRA,,1623-4/00,FABRICAÇÃO DE ARTEFATOS DE TANOARIA E DE EMBALAGENS DE MADEIRA,N,S
FABRICANTE DE EMBALAGENS DE PAPEL,,1731-1/00,FABRICAÇÃO DE EMBALAGENS DE PAPEL,N,S
FABRICANTE DE ESPECIARIAS,,1095-3/00,"FABRICAÇÃO DE ESPECIARIAS, MOLHOS, TEMPEROS E CONDIMENTOS",N,S
FABRICANTE DE FIOS DE ALGODÃO,,1311-1/00,PREPARAÇÃO E FIAÇÃO DE FIBRAS DE ALGODÃO,N,S
"FABRICANTE DE FIOS DE LINHO, RAMI, JUTA, SEDA E LÃ",,1312-0/00,"PREPARAÇÃO E FIAÇÃO DE FIBRAS TÊXTEIS NATURAIS, EXCETO ALGODÃO",N,S
FABRICANTE DE FUMO E DERIVADOS DO FUMO,,1220-4/99,"FABRICAÇÃO DE OUTROS PRODUTOS DO FUMO, EXCETO CIGARROS, CIGARRILHAS E CHARUTOS",N,S
FABRICANTE DE GELÉIA DE MOCOTÓ,,1099-6/99,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
FABRICANTE DE GELO COMUM,,04/06/1099,FABRICAÇÃO DE GELO COMUM,N,S
FABRICANTE DE GUARDA-CHUVAS E SIMILARES,,3299-0/01,FABRICAÇÃO DE GUARDA-CHUVAS E SIMILARES,N,S
FABRICANTE DE GUARDANAPOS E COPOS DE PAPEL,,1742-7/99,FABRICAÇÃO DE PRODUTOS DE PAPEL PARA USO DOMÉSTICO E HIGIÊNICO-SANITÁRIO NÃO ESPECIFICADOS ANTERIORMENTE,N,S
FABRICANTE DE INSTRUMENTOS MUSICAIS,,3220-5/00,"FABRICAÇÃO DE INSTRUMENTOS MUSICAIS, PEÇAS E ACESSÓRIOS",N,S
FABRICANTE DE JOGOS RECREATIVOS,,3240-0/99,FABRICAÇÃO DE OUTROS BRINQUEDOS E JOGOS RECREATIVOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
FABRICANTE DE LATICÍNIOS,,1052-0/00,FABRICAÇÃO DE LATICÍNIOS,N,S
FABRICANTE DE LUMINÁRIAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO,,02/06/2740,FABRICAÇÃO DE LUMINÁRIAS E OUTROS EQUIPAMENTOS DE ILUMINAÇÃO,N,S
FABRICANTE DE MALAS,,1521-1/00,"FABRICAÇÃO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL",N,S
FABRICANTE DE MASSAS ALIMENTÍCIAS,,1094-5/00,FABRICAÇÃO DE MASSAS ALIMENTÍCIAS,N,S
FABRICANTE DE MEIAS,,1421-5/00,FABRICAÇÃO DE MEIAS,N,S
FABRICANTE DE MOCHILAS E CARTEIRAS,,1521-1/00,"FABRICAÇÃO DE ARTIGOS PARA VIAGEM, BOLSAS E SEMELHANTES DE QUALQUER MATERIAL",N,S
FABRICANTE DE PAINÉIS E LETREIROS LUMINOSOS,,3299-0/04,FABRICAÇÃO DE PAINÉIS E LETREIROS LUMINOSOS,N,S
FABRICANTE DE PAPEL,,1721-4/00,FABRICAÇÃO DE PAPEL,N,S
FABRICANTE DE PARTES DE PEÇAS DO VESTUÁRIO - FACÇÃO,,03/06/1412,"FACÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS",S,S
FABRICANTE DE PARTES DE ROUPAS ÍNTIMAS - FACÇÃO,,02/08/1411,FACÇÃO DE ROUPAS ÍNTIMAS,S,S
FABRICANTE DE PARTES DE ROUPAS PROFISSIONAIS - FACÇÃO,,03/04/1413,FACÇÃO DE ROUPAS PROFISSIONAIS,S,S
FABRICANTE DE PARTES PARA CALÇADOS,,1540-8/00,"FABRICAÇÃO DE PARTES PARA CALÇADOS, DE QUALQUER MATERIAL",S,S
FABRICANTE DE POLPAS DE FRUTAS,,1031-7/00,FABRICAÇÃO DE CONSERVAS DE FRUTAS,N,S
FABRICANTE DE PRODUTOS DE LIMPEZA,,2062-2/00,FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO,N,S
FABRICANTE DE PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL,,2063-1/00,"FABRICAÇÃO DE COSMÉTICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL",N,S
FABRICANTE DE PRODUTOS DE SOJA,,1099-6/99,FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS NÃO ESPECIFICADOS ANTERIORMENTE,N,S
FABRICANTE DE PRODUTOS DE TECIDO NÃO TECIDO PARA USO ODONTO-MÉDICO-HOSPITALAR,,02/02/3292,FABRICAÇÃO DE EQUIPAMENTOS E ACESSÓRIOS PARA SEGURANÇA PESSOAL E PROFISSIONAL,N,S
FABRICANTE DE PRODUTOS DERIVADOS DE CARNE,,01/09/1013,FABRICAÇÃO DE PRODUTOS DE CARNE,N,S
FABRICANTE DE PRODUTOS DERIVADOS DO ARROZ,,02/09/1061,FABRICAÇÃO DE PRODUTOS DO ARROZ,N,S
FABRICANTE DE RAPADURA E MELAÇO,,1071-6/00,FABRICAÇÃO DE AÇÚCAR EM BRUTO,N,S
"FABRICANTE DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS",,03/04/1122,"FABRICAÇÃO DE REFRESCOS, XAROPES E PÓS PARA REFRESCOS, EXCETO REFRESCOS DE FRUTAS",N,S
FABRICANTE DE ROUPAS ÍNTIMAS,,01/08/1411,CONFECÇÃO DE ROUPAS ÍNTIMAS,N,S
FABRICANTE DE SABÕES E DETERGENTES SINTÉTICOS,,2061-4/00,FABRICAÇÃO DE SABÕES E DETERGENTES SINTÉTICOS,N,S
"FABRICANTE DE SUCOS CONCENTRADOS DE FRUTAS, HORTALIÇAS E LEGUMES",,01/03/1033,"FABRICAÇÃO DE SUCOS CONCENTRADOS DE FRUTAS, HORTALIÇAS E LEGUMES",N,S
"FABRICANTE DE SUCOS DE FRUTAS, HORTALIÇAS E LEGUMES",,02/03/1033,"FABRICAÇÃO DE SUCOS DE FRUTAS, HORTALIÇAS E LEGUMES, EXCETO CONCENTRADOS",N,S
"FABRICANTE DE VELAS, INCLUSIVE DECORATIVAS",,3299-0/06,"FABRICAÇÃO DE VELAS, INCLUSIVE DECORATIVAS",N,S
FARINHEIRO DE MANDIOCA,,1063-5/00,FABRICAÇÃO DE FARINHA DE MANDIOCA E DERIVADOS,N,S
FARINHEIRO DE MILHO,,1064-3/00,"FABRICAÇÃO DE FARINHA DE MILHO E DERIVADOS, EXCETO ÓLEOS DE MILHO",N,S
FERRAMENTEIRO(A),,2543-8/00,FABRICAÇÃO DE FERRAMENTAS,N,S
FERREIRO/FORJADOR,,2543-8/00,FABRICAÇÃO DE FERRAMENTAS,N,S
FILMADOR(A),,7420-0/04,FILMAGEM DE FESTAS E EVENTOS,S,N
FORNECEDOR(A) DE ALIMENTOS PREPARADOS PARA EMPRESAS,,01/01/5620,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA EMPRESAS,N,S
FOSSEIRO (LIMPADOR DE FOSSA),,3702-9/00,"ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTÃO DE REDES",S,N
FOTOCOPIADOR(A),,01/09/8219,FOTOCÓPIAS,S,N
FOTÓGRAFO(A),,7420-0/01,"ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS, EXCETO AÉREA E SUBMARINA",S,N
FOTÓGRAFO(A) AÉREO,,7420-0/02,ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS AÉREAS E SUBMARINAS,S,N
FOTÓGRAFO(A) SUBMARINO,,7420-0/02,ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS AÉREAS E SUBMARINAS,S,N
FUNILEIRO / LANTERNEIRO,,4520-0/02,SERVIÇOS DE LANTERNAGEM OU FUNILARIA E PINTURA DE VEÍCULOS AUTOMOTORES,S,N
GALVANIZADOR(A),,2539-0/02,SERVIÇOS DE TRATAMENTO E REVESTIMENTO EM METAIS,S,N
GESSEIRO(A),,03/04/4330,OBRAS DE ACABAMENTO EM GESSO E ESTUQUE,S,N
GRAVADOR(A) DE CARIMBOS,,03/07/8299,"SERVIÇOS DE GRAVAÇÃO DE CARIMBOS, EXCETO CONFECÇÃO",S,N
GUARDA-COSTAS ,(Incluído pela Resolução CGSN nº 117/2014),01/01/8011,ATIVIDADES DE VIGILÂNCIA E SEGURANÇA PRIVADA,S,N
GUARDADOR(A) DE MÓVEIS,,02/07/5211,GUARDA-MÓVEIS,S,N
GUIA DE TURISMO,,7912-1/00,OPERADORES TURÍSTICOS,S,N
GUINCHEIRO (REBOQUE DE VEÍCULOS),,5229-0/02,SERVIÇOS DE REBOQUE DE VEÍCULOS,S,N
HUMORISTA E CONTADOR DE HISTÓRIAS,,01/09/9001,PRODUÇÃO TEATRAL,S,N
INSTALADOR(A) DE ANTENAS DE TV,,4321-5/00,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,S,N
"INSTALADOR(A) DE EQUIPAMENTOS DE SEGURANÇA DOMICILIAR E EMPRESARIAL, SEM PRESTAÇÃO DE SERVIÇOS DE VIGILÂNCIA E SEGURANÇA",,4321-5/00,INSTALAÇÃO E MANUTENÇÃO ELÉTRICA,S,N
"INSTALADOR(A) DE EQUIPAMENTOS PARA ORIENTAÇÃO À NAVEGAÇÃO MARÍTIMA, FLUVIAL E LACUSTRE",,02/01/4329,"INSTALAÇÃO DE EQUIPAMENTOS PARA ORIENTAÇÃO À NAVEGAÇÃO MARÍTIMA, FLUVIAL E LACUSTRE",S,N
INSTALADOR(A) DE ISOLANTES ACÚSTICOS E DE VIBRAÇÃO,,05/01/4329,"TRATAMENTOS TÉRMICOS, ACÚSTICOS OU DE VIBRAÇÃO",S,N
INSTALADOR(A) DE ISOLANTES TÉRMICOS,,05/01/4329,"TRATAMENTOS TÉRMICOS, ACÚSTICOS OU DE VIBRAÇÃO",S,N
INSTALADOR(A) DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,,3321-0/00,INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS INDUSTRIAIS,S,N
INSTALADOR(A) DE PAINÉIS PUBLICITÁRIOS,,01/01/4329,INSTALAÇÃO DE PAINÉIS PUBLICITÁRIOS,S,N
INSTALADOR(A) DE REDE DE COMPUTADORES,,6190-6/99,OUTRAS ATIVIDADES DE TELECOMUNICAÇÕES NÃO ESPECIFICADAS ANTERIORMENTE,S,N
INSTALADOR(A) DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO,,03/03/4322,INSTALAÇÕES DE SISTEMA DE PREVENÇÃO CONTRA INCÊNDIO,S,N
INSTALADOR(A) E REPARADOR (A) DE ACESSÓRIOS AUTOMOTIVOS,,4520-0/07,"SERVIÇOS DE INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ACESSÓRIOS PARA VEÍCULOS AUTOMOTORES",S,N
"INSTALADOR(A) E REPARADOR DE COFRES, TRANCAS E TRAVAS DE SEGURANÇA ",(Incluído pela Resolução CGSN nº 117/2014),02/02/8020,OUTRAS ATIVIDADES DE SERVIÇOS DE SEGURANÇA,S,N
"INSTALADOR(A) E REPARADOR(A) DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",,03/01/4329,"INSTALAÇÃO, MANUTENÇÃO E REPARAÇÃO DE ELEVADORES, ESCADAS E ESTEIRAS ROLANTES",S,N
"INSTALADOR(A) E REPARADOR(A) DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO",,02/03/4322,"INSTALAÇÃO E MANUTENÇÃO DE SISTEMAS CENTRAIS DE AR CONDICIONADO, DE VENTILAÇÃO E REFRIGERAÇÃO",S,N
INSTRUTOR(A) DE ARTE E CULTURA EM GERAL,,8592-9/99,ENSINO DE ARTE E CULTURA NÃO ESPECIFICADO ANTERIORMENTE,S,N
INSTRUTOR(A) DE ARTES CÊNICAS,,02/09/8592,"ENSINO DE ARTES CÊNICAS, EXCETO DANÇA",S,N
INSTRUTOR(A) DE CURSOS GERENCIAIS,,04/06/8599,TREINAMENTO EM DESENVOLVIMENTO PROFISSIONAL E GERENCIAL,S,N
INSTRUTOR(A) DE CURSOS PREPARATÓRIOS,,05/06/8599,CURSOS PREPARATÓRIOS PARA CONCURSOS,S,N
INSTRUTOR(A) DE IDIOMAS,,8593-7/00,ENSINO DE IDIOMAS,S,N
INSTRUTOR(A) DE INFORMÁTICA,,03/06/8599,TREINAMENTO EM INFORMÁTICA,S,N
INSTRUTOR(A) DE MÚSICA,,03/09/8592,ENSINO DE MÚSICA,S,N
JARDINEIRO(A),,8130-3/00,ATIVIDADES PAISAGÍSTICAS,S,N
JORNALEIRO(A),,4761-0/02,COMÉRCIO VAREJISTA DE JORNAIS E REVISTAS,N,S
LAPIDADOR(A),,01/06/3211,LAPIDAÇÃO DE GEMAS,S,S
LAVADEIRO(A) DE ROUPAS,,01/07/9601,LAVANDERIAS,S,N
LAVADEIRO(A) DE ROUPAS PROFISSIONAIS,,03/07/9601,TOALHEIROS,S,N
LAVADOR(A) DE ESTOFADO E SOFÁ,,9609-2/99,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE,S,N
LAVADOR(A) E POLIDOR DE CARRO,,4520-0/05,"SERVIÇOS DE LAVAGEM, LUBRIFICAÇÃO E POLIMENTO DE VEÍCULOS AUTOMOTORES",S,N
LIVREIRO(A),,4761-0/01,COMÉRCIO VAREJISTA DE LIVROS,N,S
LOCADOR DE ANDAIMES,,02/02/7732,ALUGUEL DE ANDAIMES,S,N
LOCADOR(A) DE APARELHOS DE JOGOS ELETRÔNICOS,,01/02/7729,ALUGUEL DE APARELHOS DE JOGOS ELETRÔNICOS,N,N
"LOCADOR(A) DE EQUIPAMENTOS CIENTÍFICOS, MÉDICOS E HOSPITALARES, SEM OPERADOR",,7739-0/02,"ALUGUEL DE EQUIPAMENTOS CIENTÍFICOS, MÉDICOS E HOSPITALARES, SEM OPERADOR",N,N
LOCADOR(A) DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS,,7721-7/00,ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS,N,N
"LOCADOR(A) DE FITAS DE VÍDEO, DVDS E SIMILARES",,7722-5/00,"ALUGUEL DE FITAS DE VÍDEO, DVDS E SIMILARES",N,N
LOCADOR(A) DE INSTRUMENTOS MUSICAIS,,02/02/7729,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS",N,N
"LOCADOR(A) DE LIVROS, REVISTAS, PLANTAS E FLORES",,7729-2/99,ALUGUEL DE OUTROS OBJETOS PESSOAIS E DOMÉSTICOS NÃO ESPECIFICADOS ANTERIORMENTE,N,N
LOCADOR(A) DE MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS SEM OPERADOR,,7731-4/00,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS AGRÍCOLAS SEM OPERADOR,N,N
"LOCADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES",,01/02/7732,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES",N,N
LOCADOR(A) DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIO,,7733-1/00,ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA ESCRITÓRIO,N,N
LOCADOR(A) DE MATERIAL MÉDICO,,03/02/7729,ALUGUEL DE MATERIAL MÉDICO,N,N
"LOCADOR(A) DE MÓVEIS E UTENSÍLIOS, INCLUSIVE PARA FESTAS",,02/02/7729,"ALUGUEL DE MÓVEIS, UTENSÍLIOS E APARELHOS DE USO DOMÉSTICO E PESSOAL; INSTRUMENTOS MUSICAIS",N,N
"LOCADOR(A) DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS",,7723-3/00,"ALUGUEL DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS",N,N
"LOCADOR(A) DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",,7739-0/99,"ALUGUEL DE OUTRAS MÁQUINAS E EQUIPAMENTOS COMERCIAIS E INDUSTRIAIS NÃO ESPECIFICADOS ANTERIORMENTE, SEM OPERADOR",N,N
"LOCADOR(A) DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO, EXCETO ANDAIMES",,7739-0/03,"ALUGUEL DE PALCOS, COBERTURAS E OUTRAS ESTRUTURAS DE USO TEMPORÁRIO, EXCETO ANDAIMES",S,N
LOCUTOR(A) DE MENSAGENS FONADAS E AO VIVO,,9609-2/99,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE,S,N
MÁGICO(A),,9329-8/99,OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE,S,N
MANICURE/PEDICURE ,(Redação dada pela Resolução CGSN nº 117/2014),01/05/9602,"CABELEIREIROS, MANICURE E PEDICURE",S,N
MAQUIADOR(A),,02/05/9602,ATIVIDADES DE ESTÉTICA E OUTROS SERVIÇOS DE CUIDADOS COM A BELEZA,S,N
MARMITEIRO(A),,04/01/5620,FORNECIMENTO DE ALIMENTOS PREPARADOS PREPONDERANTEMENTE PARA CONSUMO DOMICILIAR,N,S
MECÂNICO(A) DE MOTOCICLETAS E MOTONETAS,,4543-9/00,MANUTENÇÃO E REPARAÇÃO DE MOTOCICLETAS E MOTONETAS,S,N
MECÂNICO(A) DE VEÍCULOS,,4520-0/01,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES,S,N
MERCEEIRO(A)/VENDEIRO(A),,4712-1/00,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS",N,S
MERGULHADOR(A) (ESCAFANDRISTA),,02/01/7490,ESCAFANDRIA E MERGULHO,S,N
